FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,ACCIDENT_LOCALIZATON,Localization of the accident,TIME_PERIOD,Observation
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2011,1.87708
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2012,1.99386
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2013,1.87218
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2014,1.90984
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2015,1.96403
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2016,1.86756
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2017,1.93103
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2018,1.93216
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2019,1.84281
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2020,2.02455
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2021,1.893
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2022,1.90429
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2023,1.82495
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2024,1.74777
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2010,1.39298
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2011,1.42205
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2012,1.25169
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2013,1.35932
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2014,1.32053
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2015,1.14702
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2016,1.33077
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2017,1.43058
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2018,1.40662
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2019,1.15599
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2020,1.43701
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2021,1.09463
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2022,1.39005
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2023,1.09176
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2024,0.98502
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2010,2.26337
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2011,4.37158
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2012,2.96663
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2013,2.68097
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2014,3.18021
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2015,3.76884
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2016,4.20272
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2017,2.97927
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2018,2.58824
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2019,4.88432
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2020,4.43925
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2021,2.48344
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2022,4.05797
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2023,1.06707
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2024,2.06718
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2010,6.05842
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2011,5.28651
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2012,6.04484
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2013,5.72727
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2014,5.64872
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2015,5.5157
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2016,4.77861
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2017,6.48065
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2018,5.25174
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2019,4.84094
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2020,5.49115
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2021,4.566
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2022,4.99117
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2023,4.3051
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2024,3.56212
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2010,2.40795
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2011,2.41437
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2012,2.34908
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2013,2.30038
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2014,2.31542
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2015,2.20945
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2016,2.26502
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2017,2.57784
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2018,2.31721
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2019,2.17922
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2020,2.54652
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2021,1.96741
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2022,2.37485
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2023,1.77485
A,Annual,ITC1,Piemonte,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2024,1.63059
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2010,2.88066
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2011,1.59574
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2012,1.13636
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2013,1.0101
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2014,2.10526
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2015,2.01342
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2017,1.2987
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2018,2.06897
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2019,0.55249
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2022,1.60428
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2023,1.2987
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2024,0.66667
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2010,0
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2011,4.16667
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2012,13.63636
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2013,8.69565
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2014,5
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2017,8.69565
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2018,11.11111
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2022,6.25
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2010,4.08163
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2011,5.74713
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2012,6.18557
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2013,3.19149
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2014,9.41176
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2015,3.47826
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2016,2.88462
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2017,5.06329
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2018,6.73077
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2019,2.72727
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2021,1.07527
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2022,4.83871
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2023,2.6087
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2024,4.87805
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2010,2.97297
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2011,3.01003
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2012,3.72881
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2013,2.22222
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2014,4.40678
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2015,2.4735
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2016,1.05263
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2017,3.125
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2018,4.49438
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2019,1.27796
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2021,0.40486
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2022,3.0581
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2023,1.7301
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2024,2.33333
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2010,0.61087
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2011,0.61822
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2012,0.79205
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2013,0.66091
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2014,0.48699
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2015,0.80399
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2016,0.47626
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2017,0.76479
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2018,0.72238
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2019,0.59802
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2020,0.9917
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2021,0.59347
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2022,0.45086
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2023,0.49442
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2024,0.44033
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2010,1.68161
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2011,1.84957
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2012,1.92593
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2013,2.3416
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2014,1.36157
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2015,2.09003
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2016,1.16086
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2017,1.65837
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2018,8.69565
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2019,1.82119
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2020,1.59236
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2021,1.80723
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2022,2.1611
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2023,0.70547
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2024,2.05696
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2010,3.04
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2011,2.88288
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2012,2.48062
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2013,3.00158
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2014,2.5974
A,Annual,ITC3,Liguria,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2015,3.10881
